name,email,date_of_birth,mobile_no,first_name,last_name,no_name,date_of_birth_clean,above_18,mobile_validation,age_validation,email_validation,Membership_ID
Patty Smith,Patty_Smith@ross.com,27-08-1975,59428759,Patty,Smith,False,19750827,True,True,True,True,Smith_c7677
Sean Wang DDS,Sean_Wang@gibson-calderon.com,1960-03-11,25595367,Sean Wang,DDS,False,19600311,True,True,True,True,DDS_04168
Richard Estrada,Richard_Estrada@malone.com,1992/10/15,22821527,Richard,Estrada,False,19921015,True,True,True,True,Estrada_0bf5b
Jackson Cline,Jackson_Cline@hudson.net,1971-01-21,48056519,Jackson,Cline,False,19710121,True,True,True,True,Cline_825fb
Allen Williams,Allen_Williams@sanchez.net,1997/11/09,77991519,Allen,Williams,False,19971109,True,True,True,True,Williams_3e726
Eric Flores,Eric_Flores@dillon-patterson.com,01-07-1982,36641663,Eric,Flores,False,19820701,True,True,True,True,Flores_8a42c
Anna Richardson,Anna_Richardson@perry.com,1967-02-23,64083047,Anna,Richardson,False,19670223,True,True,True,True,Richardson_ef158
Taylor Gomez,Taylor_Gomez@johnston.com,1982-10-22,24007567,Taylor,Gomez,False,19821022,True,True,True,True,Gomez_876bf
Jeremy Rodriguez,Jeremy_Rodriguez@roth.com,1978-08-28,32567967,Jeremy,Rodriguez,False,19780828,True,True,True,True,Rodriguez_93ac7
April Garcia,April_Garcia@hall.com,1987-12-31,24650447,April,Garcia,False,19871231,True,True,True,True,Garcia_26b55
Sharon Garza,Sharon_Garza@duran.com,30-08-2002,59411567,Sharon,Garza,False,20020830,True,True,True,True,Garza_40199
Lori Sanchez,Lori_Sanchez@hardin-warner.net,1998/04/20,76989167,Lori,Sanchez,False,19980420,True,True,True,True,Sanchez_364a7
Jason Armstrong,Jason_Armstrong@curtis.com,1992-11-16,68514503,Jason,Armstrong,False,19921116,True,True,True,True,Armstrong_e2fb8
Jessica Allison,Jessica_Allison@harper.com,1972/10/30,66821135,Jessica,Allison,False,19721030,True,True,True,True,Allison_0c21b
Arthur Hall MD,Arthur_Hall@gonzalez.com,03-11-1994,65493407,Arthur Hall,MD,False,19941103,True,True,True,True,MD_b302a
Sherry Meza,Sherry_Meza@west.com,04-09-1997,33491119,Sherry,Meza,False,19970904,True,True,True,True,Meza_af7be
Matthew Turner,Matthew_Turner@martinez.com,1994/07/07,73291455,Matthew,Turner,False,19940707,True,True,True,True,Turner_0303a
Sophia Randolph,Sophia_Randolph@leonard-ramirez.com,1950-08-07,94510479,Sophia,Randolph,False,19500807,True,True,True,True,Randolph_76c7a
