name,email,date_of_birth,mobile_no,first_name,last_name,no_name,date_of_birth_clean,above_18,mobile_validation,age_validation,email_validation
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,William,Dixon,False,19860110,True,True,True,False
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,Kristen,Horn,False,19740910,True,False,True,True
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,Kimberly,Chang,False,19740227,True,False,True,False
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,Mary,Ball,False,19680205,True,False,True,False
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,Benjamin,Craig,False,19881211,True,False,True,True
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,Cathy,Werner,False,20180925,False,False,False,True
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,Brandon,Bell,False,19611027,True,False,True,True
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,Paul,Farley,False,19801122,True,False,True,True
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,Sarah,Mcdaniel,False,20170426,False,False,False,True
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,Caroline,Anderson,False,19880227,True,False,True,True
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,Carl,Jones,False,19930621,True,False,True,True
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,Scott,Lee,False,20100712,False,True,False,True
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,Kaylee,Coleman,False,20091008,False,False,False,True
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,Charles,Parker,False,19801220,True,False,True,True
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,Susan,Hess,False,19500521,True,False,True,True
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,Kiara,Collier,False,19590521,True,False,True,False
Mr. Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,Scott,Martinez,False,19920216,True,False,True,True
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,Christopher,Ortega,False,19590618,True,False,True,False
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,Michael,Russell,False,20130120,False,False,False,True
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,Dwayne,Johnson,False,20061110,False,False,False,True
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,Deanna,Sherman,False,19750425,True,False,True,False
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,Douglas,Francis,False,19921221,True,False,True,False
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,Vicki,Diaz,False,19931005,True,False,True,True
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,Robin,Phillips,False,19740715,True,False,True,True
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,Travis,Rice,False,20060508,False,False,False,True
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,Ashley,Rocha,False,19560911,True,False,True,False
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,Sarah,Jacobson,False,19580309,True,False,True,False
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,Kayla,Shannon,False,19840517,True,True,True,False
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,Joseph,Torres,False,19550505,True,False,True,True
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,Kim,Jones,False,19851102,True,False,True,True
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,Melissa,Tanner,False,19890430,True,False,True,True
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,Sonya,Foster,False,19880910,True,False,True,True
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,Thomas,Rivera,False,19510715,True,False,True,True
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,Jamie,Silva,False,20060621,False,False,False,True
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,Kathleen,Moore,False,19520203,True,False,True,False
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,Evelyn,Pineda,False,19580204,True,False,True,True
Kyle Peters,Kyle_Peters@cole-edwards.com,1995/08/25,346701,Kyle,Peters,False,19950825,True,False,True,True
Anthony Cruz,Anthony_Cruz@burns.com,22-02-1955,1742399,Anthony,Cruz,False,19550222,True,False,True,True
Gary Harper,Gary_Harper@bell-mueller.com,01/11/1998,77546,Gary,Harper,False,19980111,True,False,True,True
Linda Johnson,Linda_Johnson@williams.biz,1959/07/29,828207,Linda,Johnson,False,19590729,True,False,True,False
Melissa Smith,Melissa_Smith@carroll.org,1997-12-08,9831067,Melissa,Smith,False,19971208,True,False,True,False
Kristen Floyd,Kristen_Floyd@robinson.com,1993-05-25,4685654,Kristen,Floyd,False,19930525,True,False,True,True
William Diaz,William_Diaz@cruz-norris.com,02/16/1987,97811,William,Diaz,False,19870216,True,False,True,True
Benjamin Smith,Benjamin_Smith@christian-contreras.com,12/23/1987,9583 5639,Benjamin,Smith,False,19871223,True,False,True,True
David Glenn,David_Glenn@jenkins-mcfarland.org,15-06-2011,960561,David,Glenn,False,20110615,False,False,False,False
Dawn Jones,Dawn_Jones@ashley-johnson.com,2007/03/02,91686479,Dawn,Jones,False,20070302,False,True,False,True
Joel Smith,Joel_Smith@walker-roth.biz,1971-09-09,8287875,Joel,Smith,False,19710909,True,False,True,False
Mr. Larry Grimes MD,Larry_Grimes@lewis-richardson.info,12/31/2005,966177,Larry Grimes,MD,False,20051231,False,False,False,False
Joseph Arnold,Joseph_Arnold@gibbs.biz,08/21/2005,2019270,Joseph,Arnold,False,20050821,False,False,False,False
Kyle Long,Kyle_Long@galvan.com,07/13/1992,2785329,Kyle,Long,False,19920713,True,False,True,True
Brittany Day,Brittany_Day@brown.info,2018/05/22,61597047,Brittany,Day,False,20180522,False,True,False,False
Bobby Ward,Bobby_Ward@bailey-taylor.org,1964/10/06,64672783,Bobby,Ward,False,19641006,True,True,True,False
Thomas Lee,Thomas_Lee@wilson-allen.com,10/28/1996,91381,Thomas,Lee,False,19961028,True,False,True,True
Jennifer Hansen,Jennifer_Hansen@nelson.biz,06/28/1963,308547,Jennifer,Hansen,False,19630628,True,False,True,False
Lisa Murray,Lisa_Murray@mcclain.net,2011-07-09,3172233,Lisa,Murray,False,20110709,False,False,False,True
Meghan Wade,Meghan_Wade@garcia-brown.org,09/15/1982,610719,Meghan,Wade,False,19820915,True,False,True,False
Tammie Brooks,Tammie_Brooks@james.com,1962/09/14,114957,Tammie,Brooks,False,19620914,True,False,True,True
Maria Bell,Maria_Bell@lambert-lamb.com,2018/10/26,60030719,Maria,Bell,False,20181026,False,True,False,True
Allison Livingston,Allison_Livingston@jones-thompson.com,1950/12/01,503175,Allison,Livingston,False,19501201,True,False,True,True
Chris Hays,Chris_Hays@todd-mccoy.info,08/27/1951,2661590,Chris,Hays,False,19510827,True,False,True,False
Courtney Mitchell,Courtney_Mitchell@dominguez.biz,27-12-1981,657699,Courtney,Mitchell,False,19811227,True,False,True,False
Shawn White,Shawn_White@kerr.com,1960/09/15,21631,Shawn,White,False,19600915,True,False,True,True
Zachary Watts,Zachary_Watts@nguyen-whitehead.info,1984-12-30,3427810,Zachary,Watts,False,19841230,True,False,True,False
Sarah Montoya,Sarah_Montoya@jackson.com,2000-11-07,31426,Sarah,Montoya,False,20001107,True,False,True,True
Jennifer Barker,Jennifer_Barker@wilson.net,2011/05/26,61006,Jennifer,Barker,False,20110526,False,False,False,True
Tiffany Stevens,Tiffany_Stevens@estrada.com,05/23/1962,6246556,Tiffany,Stevens,False,19620523,True,False,True,True
Ruben Armstrong,Ruben_Armstrong@watkins.com,10-09-2015,6962936,Ruben,Armstrong,False,20150910,False,False,False,True
Dr. Jeffrey Spencer,Jeffrey_Spencer@cooke.com,1982/12/29,19976,Jeffrey,Spencer,False,19821229,True,False,True,True
Nicole Ramsey,Nicole_Ramsey@vega.biz,1970/07/11,340839,Nicole,Ramsey,False,19700711,True,False,True,False
Anne Roy,Anne_Roy@humphrey-smith.com,1969/08/27,87811,Anne,Roy,False,19690827,True,False,True,True
Allison Chavez,Allison_Chavez@lewis.biz,1984-08-18,64931,Allison,Chavez,False,19840818,True,False,True,False
Marcus Adams,Marcus_Adams@perry.info,01/22/1985,5901652,Marcus,Adams,False,19850122,True,False,True,False
Mary Smith,Mary_Smith@meyer.net,1993/07/17,64046,Mary,Smith,False,19930717,True,False,True,True
Joseph Reed,Joseph_Reed@kelley.com,12/20/1951,1879 8163,Joseph,Reed,False,19511220,True,False,True,True
Jeff Armstrong,Jeff_Armstrong@kennedy-lucas.com,1954-03-01,88331,Jeff,Armstrong,False,19540301,True,False,True,True
Sean Shields,Sean_Shields@christian.info,2001/02/16,617613,Sean,Shields,False,20010216,True,False,True,False
Christian Grant,Christian_Grant@booker-frank.com,09/23/1979,8851893,Christian,Grant,False,19790923,True,False,True,True
Edward Watson,Edward_Watson@brooks.com,2007-12-04,946371,Edward,Watson,False,20071204,False,False,False,True
Derrick Cooke,Derrick_Cooke@hill.net,2004-09-15,4575922,Derrick,Cooke,False,20040915,False,False,False,True
Sean Patrick,Sean_Patrick@rivera.com,25-10-2000,41681,Sean,Patrick,False,20001025,True,False,True,True
Heather Collins,Heather_Collins@williams.com,1986/12/03,910971,Heather,Collins,False,19861203,True,False,True,True
Megan Gomez,Megan_Gomez@wade-stone.com,2008-01-29,3002476,Megan,Gomez,False,20080129,False,False,False,True
William Hale,William_Hale@pena.info,22-04-2007,4519208,William,Hale,False,20070422,False,False,False,False
Olivia Thompson,Olivia_Thompson@bryan-navarro.com,30-11-2005,481533,Olivia,Thompson,False,20051130,False,False,False,True
Lori Torres,Lori_Torres@hill.net,1996/10/13,5795175,Lori,Torres,False,19961013,True,False,True,True
Vickie Hernandez,Vickie_Hernandez@chapman.com,02/14/1963,25106,Vickie,Hernandez,False,19630214,True,False,True,True
Kimberly Brown,Kimberly_Brown@jones.com,11/23/1960,820029,Kimberly,Brown,False,19601123,True,False,True,True
